Title,USRelease,Genre,Rating,Sequel,Budget,Opening,USRevenue,Theaters,IntRevenue,WorldRevenue,Ratings,Review,Minutes
Man of Steel,16-Jun,Action/Adventure,PG-13,0,225,116.6,291,4207,377,668,7.1,55,143
Monster University,23-Jun,Animation,G,0,200,82.4,268.5,4004,475.1,743.6,7.3,65,104
Fast & Furious 6,26-May,Action/Adventure,PG-13,1,160,97.4,238.7,3658,550,788.7,7.1,61,130
Oz the Great and Powerful,10-Mar,Action/Adventure,PG,0,215,79.1,234.9,3912,258.4,493.3,6.3,44,130
Star Trek: Into Darkness,19-May,Action/Adventure,PG-13,1,190,70.2,228.8,3868,238.6,467.4,7.7,72,132
The Croods,24-Mar,Animation,PG,0,135,43.6,187.2,4046,400,587.2,7.2,55,98
The Heat,30-Jun,Comedy,R,0,43,39.1,159.6,3181,70.3,229.9,6.6,60,117
The Great Gatsby,11-May,Drama,PG-13,0,105,50.1,144.8,3535,206.2,351,7.3,55,143
The Conjuring,20-Jul,Horror,R,0,20,41.9,137.4,2903,180.6,318,7.5,68,112
Grown Ups 2,13-Jul,Comedy,PG-13,1,80,41.5,133.7,3491,113.3,247,5.4,19,101
The Wolverine,28-Jul,Action/Adventure,PG-13,1,120,53.1,132.6,3924,282.2,414.8,6.7,61,126
GI Joe : Retaliation,31-Mar,Action/Adventure,PG-13,1,130,40.5,122.5,3719,253.2,375.7,5.8,41,110
The Hangover Part III,26-May,Comedy,R,1,103,41.7,112.2,3555,249.8,362,5.8,30,100
Epic,26-May,Animation,PG,0,100,33.5,107.5,3882,160.9,268.4,6.7,52,102
Pacific Rim,14-Jul,Action/Adventure,PG-13,0,190,37.3,101.8,3275,309.2,411,6.9,65,131
This is the End,16-Jun,Comedy,R,0,32,20.7,101.5,3055,24.5,126,6.6,67,107
Olympus Has Fallen,24-Mar,Action/Adventure,R,0,70,30.4,98.9,3098,62.1,161,6.5,41,119
42,14-Apr,Drama,PG-13,0,40,27.5,95,3003,2.5,97.5,7.5,62,128
Oblivion,21-Apr,Action/Adventure,PG-13,0,120,37.1,89,3783,197.2,286.2,7,54,124
Turbo,21-Jul,Animation,PG,0,135,21.3,83,3806,199.6,282.6,6.5,58,96
White House Down,30-Jun,Action/Adventure,PG-13,0,150,24.9,73.1,3222,132.3,205.4,6.4,52,131
Mama,20-Jan,Horror,PG-13,0,20,28.1,71.6,2647,74.8,146.4,6.2,57,100
Safe Haven,17-Feb,Drama,PG-13,0,28,21.4,71.3,3223,26.3,97.6,6.7,34,115
A Good Day to Die Hard,17-Feb,Action/Adventure,R,1,92,24.8,67.3,3553,237.4,304.7,5.3,28,98
Warm Bodies,3-Feb,Comedy,PG-13,0,35,20.4,66.4,3009,50.6,117,6.9,60,98
Hansel & Gretel: Witch Hunters,25-Jan,Action/Adventure,R,0,50,16.7,55.7,3372,170.6,226.3,6.1,23,88
Evil Dead,7-Apr,Horror,R,0,17,25.8,54.2,3025,43.3,97.5,6.5,57,91
Red 2,21-Jul,Action/Adventure,PG-13,1,84,18,53.3,3016,94.8,148.1,6.6,47,116
The Call,17-Mar,Crime/Drama,R,0,13,17.1,51.9,2507,16.7,68.6,6.7,51,94
Pain & Gain,28-Apr,Action/Adventure,R,0,26,20.2,49.9,3277,36.3,86.2,6.4,45,129
Gangster Squad,11-Jan,Action/Adventure,R,0,60,17.1,46,3103,59.2,105.2,6.7,40,113
R.I.P.D.,14-Jul,Action/Adventure,PG-13,0,130,12.7,33.6,2852,44.7,78.3,5.6,25,96
Side Effects,10-Feb,Crime/Drama,R,0,30,9.3,32.2,2605,31.2,63.4,7.1,75,106
Scary Movie 5,14-Apr,Comedy,PG-13,1,20,14.2,32,3402,46.4,78.4,3.5,11,86
The Host,31-Mar,Action/Adventure,PG-13,0,40,10.6,26.6,3202,36.7,63.3,5.9,35,125
21 & Over,3-Mar,Comedy,R,0,13,8.8,25.7,2771,19.9,45.6,5.9,34,93
Don Jon,25-Jan,Comedy,R,0,3,8.7,24.5,2422,6,30.5,6.6,66,90
Broken City,18-Jan,Drama,R,0,35,8.3,19.7,2620,14.8,34.5,6.2,49,109
Beautiful Creatures,14-Feb,Drama,PG-13,0,60,7.6,19.5,2950,40.5,60,6.2,52,124
Admission,22-Mar,Comedy,PG-13,0,13,6.1,18,2160,0.7,18.7,5.7,48,107
Parker,25-Jan,Action/Adventure,R,0,35,7,17.6,2224,30.9,48.5,6.2,42,118
Dark Skies,22-Feb,Horror,PG-13,0,3.5,8.2,17.4,2313,10.3,27.7,6.3,50,97
Peeples,10-May,Comedy,PG-13,0,15,4.6,9.1,2041,0.2,9.3,5.3,52,95
Movie 43,25-Jan,Comedy,R,0,6,4.8,8.8,2023,22.3,31.1,4.3,18,94
,,,,,,,,,,,,,